"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area","Y_N","MperT"
"163","","LETS38","Wriezenerstr. 38 Wilhermsauer Loose",52.650566,14.321733,"28.09.2016","17h00",20,"29.09.2016","15h00",1,"Gregor-Pedro","","C","Mm",0.05
"164","","E_MA20","Mahlerstr. 20, Wriezen",52.733087,14.125579,"28.09.2016","16h00",20,"29.09.2016","16h00",6,"Gregor-Pedro","","C","Mm",0.3
"165","","E_ST18","Storkower Str 18, Storkow",53.04789,13.445741,"28.09.2016","11h30",5,"29.09.2016","12h00",3,"Thomas-Jana-Lisa-Kati","","A","Mm",0.6
"166","","E_AMR1","Am Röddelinsee1, 17268 Templin",53.094694,13.449635,"28.09.2016","12h15",21,"29.09.2016","13h00",2,"Thomas-Jana-Lisa-Kati","Eigentlich 8, aber von Hofleuten frei gelassen","A","Mm",0.0952380952380952
"167","","","Hauptstr. 12, Densow",53.1449,13.377,"28.09.2016","13h00",4,"29.09.2016","13h00",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"168","","","Altthymer Dorfstr. 3, Bartselhof",53.2314,13.164,"28.09.2016","15h30",10,"29.09.2016","15h00",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"169","","E_AD23","Altthymer Dorfstr. 23, Altthymen",53.239927,13.164659,"28.09.2016","16h45",22,"29.09.2016","15h20",7,"Thomas-Jana-Lisa-Kati","","A","Mm",0.318181818181818
"170","","","Müggelseedamm 31a, Berlin",52.448977,13.647899,"27.09.2016","15h00",10,"28.09.2016","16h00",0,"Nadine-Irina","1 Spitzmaus tot","D","None",0
"171","","","Lindenstraße 19, Alt Madlitz",52.384948,14.279504,"27.09.2016","16h00",30,"28.09.2016","12h45",0,"Nadine-Irina","1 Spitzmaus tot","D","None",0
"172","","","Eberswalderstr. 158A, Müncheberg",52.525605,14.094352,"27.09.2016","9h30",25,"28.09.2016","9h30",0,"Nadine-Irina"," 1 Spitzmaus, 1 Wühlmaus, 1 Brandmaus","D","None",0
