"","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Mouse_ID","Position"
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,0.89,3.24,"AA_0799","spleen"
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.32,2.13,"AA_0800","spleen"
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,0.097,13,"AA_0801","spleen"
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,0.017,9.25,"AA_0802","spleen"
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,0.29,17.3,"AA_0803","spleen"
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,0.15,2.11,"AA_0804","spleen"
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42,0.35,4.87,"AA_0805","spleen"
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,0.3,3.83,"AA_0806","spleen"
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,0.13,6.89,"AA_0807","spleen"
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA"
