Name,Eimeria_IL,Crypto_IL,Eimeria presence in Caecum,Worms,Sex,GPS.latitude,GPS.longitude,Status,Eimeria subspecies,deltaCtMmE_tissue,BMI.BMI
CEWE_AA_646,NA,NA,TRUE,TRUE,M,5330705,140939,juvenile,E. falciformis,-5.08,0.002013538810076
CEWE_AA_647,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,pregnant,non infected,-9.64,0.0032734375
CEWE_AA_648,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,pregnant,non infected,-8.71,0.00328089569161
CEWE_AA_649,FALSE,FALSE,FALSE,TRUE,M,5331515,132145,juvenile,non infected,-9.3,0.002614619377163
CEWE_AA_650,FALSE,FALSE,TRUE,TRUE,F,5331515,132145,juvenile,E. falciformis,-2.15,0.002769777777778
CEWE_AA_651,FALSE,FALSE,FALSE,FALSE,F,5331515,132145,pregnant,non infected,-9.12,0.003187859551676
CEWE_AA_652,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,adult,non infected,-10.06,0.002972972972973
CEWE_AA_653,FALSE,FALSE,FALSE,FALSE,M,5331515,132145,juvenile,non infected,-9.64,0.002299687825182
CEWE_AA_654,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,pregnant,non infected,-7.82,0.003411764705882
CEWE_AA_655,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,pregnant,non infected,-8.45,0.002991725939904
CEWE_AA_656,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,adult,non infected,-9.62,0.002509798229061
CEWE_AA_657,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,adult,non infected,-8.6,0.002574302697759
CEWE_AA_658,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,adult,non infected,-10.46,0.002605603135433
CEWE_AA_659,FALSE,FALSE,FALSE,TRUE,F,5331515,132145,pregnant,non infected,-13.12,0.003103733459357
CEWE_AA_660,FALSE,TRUE,FALSE,TRUE,F,5330785,141413,adult,non infected,-9.57,0.002677692210579
CEWE_AA_661,TRUE,FALSE,TRUE,FALSE,F,5330785,141413,adult,E. falciformis,-1.81,0.002295179527871
