"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type","IFNy","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position"
"76","AA_0721",32.6566666666667,TRUE,23.52,-9.13666666666667,"wild",17.8763763167597,7.92,12,17.7,4.17,5.09,19,3.15,3.46,3.49,8.32,24.7,5.77,0.72,6.91,"spleen"
"77","AA_0722",31.2466666666667,TRUE,24.4133333333333,-6.83333333333333,"wild",26.8490499753658,41.3,5.92,59.6,17.1,3.11,62,1.76,13.3,18,23,64.3,0.39,0.88,5.01,"mLN"
"78","AA_0722",31.2466666666667,TRUE,24.4133333333333,-6.83333333333333,"wild",26.8490499753658,22.9,7.79,24.5,3.45,10.7,42.1,1.76,16.9,11.3,13.1,43.4,9.04,0.49,10.3,"spleen"
"79","AA_0723",32.37,FALSE,24.3766666666667,-7.99333333333334,"wild",3.84097665990173,22.3,7.03,23.1,1.3,5.97,49.2,1.98,43.4,10.4,6.81,51.5,8.51,0.75,13,"spleen"
"80","AA_0723",32.37,FALSE,24.3766666666667,-7.99333333333334,"wild",3.84097665990173,49.3,4.72,50.8,11.2,2.17,66.3,0.83,25.7,20.7,16.1,62.1,0.16,0.13,0.83,"mLN"
"81","AA_0725",32.68,FALSE,22.4633333333333,-10.2166666666667,"wild",21.8675246208082,15.2,12.5,25.3,0.42,0.43,62.5,0.73,3.85,6.71,1.03,62,1.99,0.15,1.95,"spleen"
"82","AA_0725",32.68,FALSE,22.4633333333333,-10.2166666666667,"wild",21.8675246208082,36.6,9.38,28,4.78,1.22,70.4,2.08,8.1,11.7,7.82,33.4,0.16,0.087,0.091,"mLN"
"83","AA_0726",32.0966666666667,FALSE,22.5633333333333,-9.53333333333333,"wild",NA,42.6,4.7,20.9,7.3,0.89,23.9,1.93,7.03,10.1,4.84,28,2.51,0.33,6.17,"spleen"
"84","AA_0726",32.0966666666667,FALSE,22.5633333333333,-9.53333333333333,"wild",NA,64.9,5.34,13.2,5.63,0.86,37.4,1.52,7.96,10.6,6.86,29.9,0.34,0.17,3.74,"mLN"
"85","AA_0727",32.5,FALSE,17.45,-15.05,"wild",NA,60.5,5.81,20,1.6,0.74,44.5,0.49,6.59,21.5,5.35,25.7,0.15,0.049,2.48,"mLN"
"86","AA_0727",32.5,FALSE,17.45,-15.05,"wild",NA,22.9,8.35,22.4,2,4.02,29.2,4.48,5.04,12.1,12.5,26.4,4.67,0.56,14.2,"spleen"
"87","AA_0728",31.8666666666667,TRUE,23.0966666666667,-8.77,"wild",NA,42,4.27,36,15.4,1.87,30.8,9.6,8.25,10.3,7.32,23.8,1.5,0.32,1.15,"spleen"
"88","AA_0728",31.8666666666667,TRUE,23.0966666666667,-8.77,"wild",NA,58.1,3.5,44.7,9.49,0.49,82.8,0.55,13.6,12.1,7.38,39.2,0.11,0.14,0.77,"mLN"
"89","AA_0729",34.1,FALSE,24.1733333333333,-9.92666666666667,"wild",9.83222945964245,49.2,8.01,18.9,10.6,2.7,27.4,1.3,5.29,10,15.9,36.1,0.28,0.22,2.94,"mLN"
"90","AA_0729",34.1,FALSE,24.1733333333333,-9.92666666666667,"wild",9.83222945964245,28.5,12.6,18.9,7.96,4.64,22.4,1.5,5.15,8.52,11.1,32.1,6.53,0.43,19.8,"spleen"
"91","AA_0730",32.04,FALSE,22.4866666666667,-9.55333333333333,"wild",5.52080144264973,50.9,5.98,35,15.3,0.81,55.9,2.27,20.5,19.9,9.51,21,0.29,0.13,33.9,"mLN"
"92","AA_0730",32.04,FALSE,22.4866666666667,-9.55333333333333,"wild",5.52080144264973,38.7,7.81,29.4,10.4,1.98,46.9,2.63,21.9,15,14.8,18.6,1.53,0.075,29.9,"spleen"
"93","AA_0731",31.0433333333333,TRUE,25.0733333333333,-5.97,"wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
